12:44:57.359 [main] INFO  DatacenterBroker - 8.11: DatacenterBrokerSimple2: Cloudlet 5 finished in Vm 5 and returned to broker.
12:44:57.359 [main] INFO  DatacenterBroker - 8.11: DatacenterBrokerSimple2: Cloudlet 6 finished in Vm 6 and returned to broker.
12:44:57.359 [main] INFO  DatacenterBroker - 8.11: DatacenterBrokerSimple2: Cloudlet 7 finished in Vm 7 and returned to broker.
12:44:57.360 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 0 finished in Vm 0 and returned to broker.
12:44:57.360 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 8 finished in Vm 0 and returned to broker.
12:44:57.360 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 1 finished in Vm 1 and returned to broker.
12:44:57.360 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 9 finished in Vm 1 and returned to broker.
12:44:57.360 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 2 finished in Vm 2 and returned to broker.
12:44:57.361 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 10 finished in Vm 2 and returned to broker.
12:44:57.361 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 3 finished in Vm 3 and returned to broker.
12:44:57.361 [main] INFO  DatacenterBroker - 16.21: DatacenterBrokerSimple2: Cloudlet 11 finished in Vm 3 and returned to broker.
12:44:57.361 [main] INFO  CloudSim - 16.32: Processing last events before simulation shutdown.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2 is shutting down...
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 7 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 6 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 5 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 4 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 3 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 2 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 1 destruction.
12:44:57.361 [main] INFO  DatacenterBroker - 16.32: DatacenterBrokerSimple2: Requesting Vm 0 destruction.
12:44:57.361 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 7 destroyed on Host 3/DC 1. 
12:44:57.361 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 6 destroyed on Host 2/DC 1. 
12:44:57.361 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 5 destroyed on Host 1/DC 1. 
12:44:57.361 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 4 destroyed on Host 0/DC 1. 
12:44:57.362 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 3 destroyed on Host 3/DC 1. 
12:44:57.362 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 2 destroyed on Host 2/DC 1. 
12:44:57.362 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 1 destroyed on Host 1/DC 1. 
12:44:57.362 [main] INFO  Datacenter - 16.32: DatacenterSimple: Vm 0 destroyed on Host 0/DC 1. 
12:44:57.362 [main] INFO  CloudSim - Simulation: No more future events

